Working_in,involvement_software,Age,Gender,Country,Education,employment_status,Role,Number_of_employees,project_team,Meeting_interrupted,Eye_contact,Asked_question_to_another,Presented_idea,Menial_tasks,Managing,Make_necessary_decisions,Team_values,Aggressive_or_bossy,Excluded_from_social,unfairly_treated,Biggest_obstacle,Harassment,Sexism,Growth_opportunities,Fairly compensated,Start_over,More_challenging_gender,Which_gender?,Anything_else?,Summary_or_contact
Yes,Less than 2 years,26-35,Male,Iran,Masters degree,Unemployed (looking for a job),Developer,Less than 10,1 - 5,Sometimes,Sometimes,Sometimes,Very often,Sometimes,True,Agree,Agree,no. never,no. never,Yes,,I haven't experienced or witnessed this behaviour,I have witnessed this behaviour,Agree,Agree,Agree,Agree,,,no thank you
Yes,2-5 years,26-35,Female,Switzerland,Bachelors degree,Full-time (38+ hours a week),Developer,10.000 - 100.000,6 - 10,Rarely,Never,Sometimes,Sometimes,Very often,True,Agree,Agree,no. never,no. never,yes. people have given me criticism based on my personality (you are too nice in projects) rather than my work and I feel like my behavior is more closely monitored than others.,Feeling pressured (by myself and others) to “prove myself” all the time. I think I need to go above and beyond to show I belong and my opinions are valid while others are accepted by default.,I have witnessed this behaviour,I have experienced and witnessed this behaviour,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Female. Non-binary,,no thank you
Yes,6-10 years,26-35,Male,India,Bachelors degree,Full-time (38+ hours a week),Architect,101 - 500,1 - 5,Rarely,Rarely,Never,Never,Sometimes,True,Agree,Neutral,no. never,three or four times,"yes. many times. Was working in a project since last 5 years and brought it to a very stable level. The work in these 5 years include responsibilities like coding. reviewing. scrum master tasks. client communication. team management. leave management. grooming team members.

After 5 years. I asked for a change of project and company expected me to show performance like another colleague. let's call him X (same designation. but different responsibilities) whose background was 100% technical. X never had to manage tasks. teams. no responsibilities of managing team. X used to only deal with code. creating PoC with new tools etc. X was allowed to freely consult with company's Lead Principal Engineer whereas we had to go via our managers to consult with this Principal Engineer. Company kept log of all queries I asked for help from Principal Engineer. but there was no log present for conversation between X and Principal Engineer.","* Keeping myself upto date with new technology since there are so many
* Unable to decide whether to really stop coding and focus on just architecture type of tasks",I have witnessed this behaviour,I have witnessed this behaviour,Agree,Neutral,Neutral,Agree,Female. Non-binary,,Yes I would like to obtain a summary of the results and keep in touch in case additional information is needed
Yes,2-5 years,18-25,Male,Germany,Bachelors degree,Full-time (38+ hours a week),Developer,10 - 100,1 - 5,Never,Never,Rarely,Never,Never,Untrue,Agree,Agree,no. never,no. never,No,Start of the full time working career. Everything seemed to be way over my head and had a steep learning curve.,I haven't experienced or witnessed this behaviour,I haven't experienced or witnessed this behaviour,Agree,Disagree,Agree,Disagree,,,Yes I would like to obtain a summary of the results
Yes,21+ years,56-65,Male,United States,Bachelors degree,Full-time (38+ hours a week),Architect,I am a freelancer,1 - 5,Rarely,Never,Rarely,Never,Rarely,True,Agree,Agree,More than four times,three or four times,No.  We all earn our way.  There is no fair in life. or software.,Changing requirements,I haven't experienced or witnessed this behaviour,I have witnessed this behaviour,Strongly agree,Agree,Strongly agree,Agree,Female. Non-binary,,Yes I would like to obtain a summary of the results
Yes,11-15 years,36-45,Male,United States,Bachelors degree,Full-time (38+ hours a week),Developer,1001 - 10.000,6 - 10,Sometimes,Sometimes,Rarely,Never,Never,True,Strongly agree,Strongly agree,one or two times,no. never,No,OMG. convincing bean counters that the standard office PC is not powerful enough and they're spending dollars to same pennies.,I haven't experienced or witnessed this behaviour,I haven't experienced or witnessed this behaviour,Strongly agree,Strongly agree,Strongly agree,Agree,Female. Non-binary,,no thank you
Yes,2-5 years,26-35,Male,Canada,Bachelors degree,Full-time (38+ hours a week),Developer,101 - 500,6 - 10,Rarely,Never,Sometimes,Never,Never,Untrue,Agree,Strongly agree,no. never,no. never,As an intern. some intern jokes were unpleasant. even if funny.,Social anxiety. and speaking up. Fear of failure.,I haven't experienced or witnessed this behaviour,I haven't experienced or witnessed this behaviour,Agree,Agree,Agree,Agree,Female. Non-binary,This was fun. Thank you!,Yes I am willing to keep in touch in case additional information is needed.
Yes,16-20 years,26-35,Male,Netherlands,Doctorate,Part-time (less than 38 hours a week),Developer,10 - 100,1 - 5,Sometimes,Sometimes,Sometimes,Very often,Sometimes,Untrue,Neutral,Neutral,three or four times,three or four times,Yes. Feedback was that I took too long / worked too slow on some project. Felt like I needed to rush a product without proper quality/standards.,Work is not interesting.,I have experienced and witnessed this behaviour,I have witnessed this behaviour,Agree,Agree,Neutral,Agree,Female. Non-binary,,no thank you
Yes,11-15 years,36-45,Male,Canada,Bachelors degree,Full-time (38+ hours a week),Tester,10 - 100,6 - 10,Rarely,Rarely,Never,Never,Rarely,True,Strongly agree,Strongly agree,no. never,no. never,Early in my career it was difficult to receive praise for achievements. Now more seasoned. I realize it was poor management ,QA/testing is feast or famine with skillets.  Some qa are excellent. others are seat warmers.  It can be quite obvious which is which.,I have experienced and witnessed this behaviour,I have experienced and witnessed this behaviour,Strongly agree,Strongly agree,Strongly agree,Disagree,,,no thank you
Yes,16-20 years,46-55,Male,United Kingdom,Bachelors degree,Self-employed,Developer,Less than 10,6 - 10,Sometimes,Sometimes,Sometimes,Rarely,Rarely,Untrue,Agree,Agree,no. never,one or two times,,,I haven't experienced or witnessed this behaviour,I haven't experienced or witnessed this behaviour,Strongly agree,Strongly agree,Disagree,Disagree,,,no thank you
Yes,6-10 years,46-55,Female,United States,Bachelors degree,Full-time (38+ hours a week),Project manager,Less than 10,1 - 5,Rarely,Never,Never,Never,Sometimes,True,Agree,Agree,no. never,one or two times,no. but I handpicked this team based on other experiences like the ones in the survey outside of the software industry.,Team communication and process documentation over long projects.,I haven't experienced or witnessed this behaviour,I haven't experienced or witnessed this behaviour,Neutral,Disagree,Neutral,Strongly agree,Female,,no thank you
Yes,16-20 years,36-45,Male,Australia,Bachelors degree,Full-time (38+ hours a week),Architect,10.000 - 100.000,6 - 10,Sometimes,Never,Rarely,Rarely,Rarely,True,Neutral,Agree,no. never,no. never,Once experienced bullying which was not handled by management. I left the company as a result.,Cross team dependencies. tribal knowledge.,I have experienced this behaviour,I haven't experienced or witnessed this behaviour,Strongly agree,Agree,Strongly agree,Strongly disagree,,,Yes I would like to obtain a summary of the results and keep in touch in case additional information is needed
Yes,21+ years,46-55,Male,United States,Doctorate,Full-time (38+ hours a week),Developer,100.000+,6 - 10,Rarely,Sometimes,Very often,Very often,Very often,Untrue,Disagree,Neutral,no. never,More than four times,"I feel I've been passed over for opportunities because I was seen as ""not having future potential"". My interpretation of this was that they were evaluating me based on my age rather than my ability to do the work and succeed.",,I haven't experienced or witnessed this behaviour,I have witnessed this behaviour,Disagree,Neutral,Disagree,Agree,Non-binary,In past jobs. I've had to witness overt sexism. esp. in hiring. That isn't really true in my current position (I've been at a well known search engine company for 5+ years now).,Yes I would like to obtain a summary of the results and keep in touch in case additional information is needed
Yes,11-15 years,36-45,Male,United States,Masters degree,Full-time (38+ hours a week),Developer,10 - 100,1 - 5,Rarely,Never,Rarely,Never,Rarely,True,Strongly agree,Strongly agree,no. never,no. never,Only by asshole managers,Too much work to be done. not enough time and not enough money for us to hire more. Funding or time. Biggest technical obstacle has been bad or underused project management tools. causing poor planning and unrealistic deadlines.,I have experienced this behaviour,I have witnessed this behaviour,Strongly agree,Disagree,Strongly agree,Agree,Female. Non-binary,,Yes I would like to obtain a summary of the results and keep in touch in case additional information is needed
Yes,Less than 2 years,18-25,Male,United States,Bachelors degree,Full-time (38+ hours a week),Developer,1001 - 10.000,1 - 5,Sometimes,Rarely,Never,Sometimes,Rarely,Untrue,Agree,Agree,no. never,no. never,,,I haven't experienced or witnessed this behaviour,I haven't experienced or witnessed this behaviour,Strongly agree,Strongly agree,Strongly agree,Neutral,,,Yes I would like to obtain a summary of the results and keep in touch in case additional information is needed
Yes,6-10 years,26-35,Male,United States,Bachelors degree,Full-time (38+ hours a week),Architect,10.000 - 100.000,1 - 5,Rarely,Rarely,Very often,Never,Never,True,Agree,Agree,one or two times,one or two times,nah,Under performing or complacent peers,I have witnessed this behaviour,I have witnessed this behaviour,Strongly agree,Agree,Strongly agree,Strongly disagree,,,Yes I would like to obtain a summary of the results and keep in touch in case additional information is needed
Yes,11-15 years,36-45,Female,Brazil,Masters degree,Full-time (38+ hours a week),Project manager,10.000 - 100.000,16 - 20,Sometimes,Never,Rarely,Never,Never,True,Strongly agree,Agree,one or two times,one or two times,A woman project manager in public sector still suffer from prejudice.,I had to learn in the practice of people management and software because I came from another area.,I have experienced and witnessed this behaviour,I have experienced and witnessed this behaviour,Agree,Strongly agree,Agree,Strongly agree,Female,challenging to be a woman in a software industry.,Yes I would like to obtain a summary of the results and keep in touch in case additional information is needed
Yes,6-10 years,26-35,Male,Brazil,Masters degree,Full-time (38+ hours a week),Project manager,1001 - 10.000,16 - 20,Always,Always,Very often,Very often,Very often,True,Strongly agree,Strongly agree,three or four times,one or two times,No,Resistance to changes,I have experienced this behaviour,I have experienced this behaviour,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Female. Non-binary,,no thank you
Yes,6-10 years,26-35,Male,United States,Bachelors degree,Full-time (38+ hours a week),Developer,1001 - 10.000,1 - 5,Sometimes,Rarely,Sometimes,Never,Sometimes,Untrue,Agree,Agree,one or two times,no. never,yes. sometimes politics overrides logic.,Legacy code,I have witnessed this behaviour,I have witnessed this behaviour,Neutral,Agree,Neutral,Agree,Female,,no thank you
Yes,21+ years,56-65,Male,United States,Bachelors degree,Full-time (38+ hours a week),Architect,1001 - 10.000,1 - 5,Sometimes,Sometimes,Sometimes,Sometimes,Never,True,Neutral,Strongly agree,one or two times,one or two times,"It's generally down to individual supervisors or co-workers.
","Trying to understand what my management wants. and trying to improve communication with them.
",I have witnessed this behaviour,I haven't experienced or witnessed this behaviour,Agree,Neutral,Strongly agree,Neutral,,,no thank you
Yes,2-5 years,26-35,Male,United States,Bachelors degree,Full-time (38+ hours a week),Developer,1001 - 10.000,6 - 10,Never,Never,Rarely,Never,Rarely,Untrue,Agree,Agree,no. never,no. never,,,I haven't experienced or witnessed this behaviour,I haven't experienced or witnessed this behaviour,Agree,Agree,Strongly agree,Agree,Female. Non-binary,,Yes I would like to obtain a summary of the results
Yes,Less than 2 years,18-25,Female,United States,Masters degree,Full-time (38+ hours a week),Developer,10.000 - 100.000,6 - 10,Sometimes,Sometimes,Sometimes,Rarely,Very often,Untrue,Agree,Neutral,three or four times,one or two times,,,I haven't experienced or witnessed this behaviour,I haven't experienced or witnessed this behaviour,Neutral,Agree,Strongly agree,Agree,Female. Non-binary,,no thank you
Yes,2-5 years,26-35,Female,United States,Bachelors degree,Full-time (38+ hours a week),Project manager,Less than 10,1 - 5,Very often,Sometimes,Very often,Very often,Always,True,Agree,Neutral,More than four times,More than four times,Yes. I have to be shot down 3 times before my ideas are acknowledged and often. someone else takes my ideas in that time. ,Being a woman. Constantly. they try to relegate me to marketing and customer success. when my expertise are project and product management. ,I have experienced and witnessed this behaviour,I have experienced and witnessed this behaviour,Neutral,Disagree,Agree,Strongly agree,Female,I refused to be pushed out of software simply because I am a woman. ,Yes I would like to obtain a summary of the results and keep in touch in case additional information is needed
Yes,2-5 years,26-35,Male,Sweden,Bachelors degree,Full-time (38+ hours a week),Developer,10 - 100,1 - 5,Sometimes,Rarely,Sometimes,Never,Rarely,Untrue,Agree,Agree,one or two times,no. never,,Language barrier (English vs the local language),I haven't experienced or witnessed this behaviour,I haven't experienced or witnessed this behaviour,Agree,Agree,Strongly agree,Disagree,,,no thank you
Yes,6-10 years,26-35,Male,Netherlands,High school degree or equivalent,Full-time (38+ hours a week),Architect,1001 - 10.000,6 - 10,Sometimes,Never,Sometimes,Rarely,Rarely,True,Agree,Agree,one or two times,no. never,Developers are often treated unfairly. mainly in small companies with a lot of sales employees.,Currently the most important and difficult thing is to create a culture of test driven development. to ensure quality and leverage devops activities.,I haven't experienced or witnessed this behaviour,I haven't experienced or witnessed this behaviour,Strongly agree,Neutral,Strongly agree,Agree,Female. Non-binary,Software development is great,Yes I would like to obtain a summary of the results and keep in touch in case additional information is needed
Yes,2-5 years,18-25,Male,Pakistan,Bachelors degree,Full-time (38+ hours a week),Developer,101 - 500,1 - 5,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,True,Neutral,Neutral,one or two times,one or two times,No never. I feel like people over feel us..,incomplete data,I have witnessed this behaviour,I have witnessed this behaviour,Neutral,Neutral,Neutral,Agree,Male,,Yes I would like to obtain a summary of the results and keep in touch in case additional information is needed
Yes,6-10 years,26-35,Male,United States,Associate degree,Full-time (38+ hours a week),Developer,10.000 - 100.000,1 - 5,Rarely,Never,Sometimes,Never,Never,Untrue,Strongly agree,Strongly agree,no. never,no. never,No,Being told my position was changing to cobol development. I quit.,I have witnessed this behaviour,I haven't experienced or witnessed this behaviour,Strongly agree,Strongly agree,Strongly agree,Agree,Female,,no thank you
Yes,6-10 years,36-45,Female,Austria,Bachelors degree,Part-time (less than 38 hours a week),Developer,10 - 100,1 - 5,Rarely,Rarely,Never,Never,Never,Untrue,Strongly agree,Agree,no. never,no. never,My salary was significantly lower than my male colleage's salary who did exactly the same work and joined the company even later than I. Our degrees were the same. I was shocked about the salary difference.,Women with the same qualification are automatically considered less qualified than their male counterparts and get less paid.,I haven't experienced or witnessed this behaviour,I have experienced and witnessed this behaviour,Disagree,Disagree,Disagree,Agree,Female. Non-binary,Salaries should be transparent.,no thank you
Yes,6-10 years,26-35,Female,United States,Bachelors degree,Full-time (38+ hours a week),Developer,101 - 500,1 - 5,Sometimes,Never,Rarely,Very often,Never,Untrue,Strongly agree,Strongly agree,no. never,no. never,At one employer who did not normally allow working from home. I had to because of a disability. and the team gave poor reviews based on that resulting in being put on a PIP. rather than coming to me to talk about the issues they had with me working remotely.,I had to learn to sound sure and assertive even when I wasn't completely sure about something at the time. since others would do the same and overpower my suggestions otherwise.,I have witnessed this behaviour,I have experienced this behaviour,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Female. Non-binary,,no thank you
Yes,6-10 years,36-45,Female,Sweden,Bachelors degree,Full-time (38+ hours a week),Developer,1001 - 10.000,11 - 15,Rarely,Sometimes,Sometimes,Rarely,Very often,True,Neutral,Agree,More than four times,three or four times,,Lack of believe in what I am able to do,I have experienced and witnessed this behaviour,I have experienced and witnessed this behaviour,Agree,Agree,Agree,Agree,Non-binary,,Yes I would like to obtain a summary of the results and keep in touch in case additional information is needed
Yes,16-20 years,36-45,Male,Sweden,Masters degree,Full-time (38+ hours a week),Requirement manager,10.000 - 100.000,6 - 10,Rarely,Never,Rarely,Rarely,Never,True,Disagree,Agree,no. never,no. never,No,Time management. stress. having too much to do,I haven't experienced or witnessed this behaviour,I haven't experienced or witnessed this behaviour,Disagree,Agree,Strongly agree,Agree,Female. Non-binary,,no thank you
Yes,Less than 2 years,26-35,Female,Iran,Doctorate,Part-time (less than 38 hours a week),Developer,Less than 10,1 - 5,Sometimes,Sometimes,Rarely,Rarely,Rarely,Untrue,Agree,Agree,one or two times,one or two times,no. I have never treated unfairly.,The most obstacle was related to gender identity. in some situation. For example. most of the time my boss preferred to assign the hard task to boys.,I have experienced this behaviour,I have experienced this behaviour,Neutral,Neutral,Agree,Agree,Female,In my opinion. the gender identity issue is mostly depend on the culture of that organization.,Yes I would like to obtain a summary of the results and keep in touch in case additional information is needed
Yes,21+ years,46-55,Female,United States,Bachelors degree,Full-time (38+ hours a week),Project manager,10.000 - 100.000,26+,Rarely,Rarely,Sometimes,Rarely,Sometimes,True,Agree,Strongly agree,three or four times,three or four times,,,I have experienced and witnessed this behaviour,I have experienced and witnessed this behaviour,Strongly agree,Agree,Disagree,Agree,Non-binary,,no thank you
Yes,2-5 years,26-35,Male,Argentina,Bachelors degree,Full-time (38+ hours a week),Developer,10 - 100,1 - 5,Sometimes,Sometimes,Sometimes,Very often,Rarely,Untrue,Neutral,Neutral,no. never,no. never,,,I have experienced and witnessed this behaviour,I have witnessed this behaviour,Disagree,Neutral,Neutral,Strongly agree,Male,,no thank you
Yes,Less than 2 years,26-35,Female,United Kingdom,Masters degree,Full-time (38+ hours a week),Data scientist,Less than 10,1 - 5,Rarely,Rarely,Sometimes,Never,Never,True,Agree,Strongly agree,no. never,no. never,I am the only non native english speaker in my team and I am also the only female from a developing country; so often during meetings with people outside my company. they tend to ask question to other team members that should be directed to me because they assume I either do not have the knowledge or communication skills to answer them. ,The biggest challenge is to overcome the initial prejudice some people have when they meet me in a professional setting. as I am a female immigrant who looks very young. Usually. people assume I am in an entry-level position. and it takes them time to acknowledge my capabilities. ,I haven't experienced or witnessed this behaviour,I have experienced this behaviour,Strongly agree,Disagree,Strongly agree,Strongly agree,Female. Non-binary,,no thank you
Yes,2-5 years,26-35,Female,Germany,Masters degree,Full-time (38+ hours a week),Research scientist,501 - 1000,1 - 5,Sometimes,Very often,Sometimes,Never,Rarely,True,Strongly agree,Strongly agree,one or two times,three or four times,Most of the time I am the only woman in the room. and at the same time the youngest person. and sometimes I find it very difficult to make the other people listen to what I have to say or what I am trying to explain. In many occasions I feel I am not given the needed time to communicate my ideas. and even worse. many times I notice that the others are not even trying to understand to what I am trying to explain. And this has never been the case with my male colleagues.  ,It is closely related to my answer above. but many times I feel that as a woman. people's biases hold them against me. often resulting in a way that my skills are knowledge are by default underestimated. Maybe it is the way I look. or talk. as I am aware that they don't comply with a stereotypical computer scientist. But I need to always prove myself an extra mile. compared with my male colleagues. to show that I am worthy to have a seat at the table.  ,I have experienced and witnessed this behaviour,I have witnessed this behaviour,Agree,Agree,Strongly agree,Strongly agree,Female. Non-binary,No. Thank you for the nice survey. ,Yes I would like to obtain a summary of the results and keep in touch in case additional information is needed
Yes,21+ years,46-55,Non-binary,France,Masters degree,Part-time (less than 38 hours a week),Architect,1001 - 10.000,1 - 5,Very often,Sometimes,Sometimes,Very often,Sometimes,True,Agree,Strongly agree,no. never,no. never,lack of trust. low salary compared to other managerial or sales jobs,lack of trust and reward,I have witnessed this behaviour,I have experienced and witnessed this behaviour,Disagree,Neutral,Strongly agree,Strongly agree,Female. Non-binary,,Yes I would like to obtain a summary of the results and keep in touch in case additional information is needed
Yes,6-10 years,36-45,Female,Germany,Masters degree,Full-time (38+ hours a week),security consultant,1001 - 10.000,6 - 10,Rarely,Never,Rarely,Sometimes,Never,Untrue,Agree,Neutral,no. never,one or two times,Salary,Opportunities to apply trainings. Not only assisting to a training is necessary but having time to learn at own pace. Regularly trainings are expected to be applied the next day after the training,I haven't experienced or witnessed this behaviour,I haven't experienced or witnessed this behaviour,Neutral,Disagree,Neutral,Agree,Female,Consider for women. difficulties to follow a linear career path. Motherhood implies interrupting career paths or not having extra time to keep updated on trend topics. I perceive this is more achievable by men. ,Yes I am willing to keep in touch in case additional information is needed.
Yes,2-5 years,26-35,Male,United States,Masters degree,Full-time (38+ hours a week),Developer,101 - 500,1 - 5,Always,Always,Always,Always,Always,True,Strongly disagree,Strongly disagree,no. never,More than four times,Yes. Racism is still strong within the software industry. especially for companies over 25 years old.,Not being taken seriously because of my age and race.,I have experienced this behaviour,I have experienced this behaviour,Neutral,Neutral,Agree,Neutral,,A lot of condescending behavior I've experienced was due to my race. It's been made explicit on several occasions. ,Yes I would like to obtain a summary of the results and keep in touch in case additional information is needed
Yes,11-15 years,36-45,Male,United States,Bachelors degree,Full-time (38+ hours a week),Developer,10 - 100,1 - 5,Sometimes,Sometimes,Very often,Sometimes,Never,Untrue,Agree,Neutral,More than four times,one or two times,,,I have witnessed this behaviour,I have witnessed this behaviour,Disagree,Agree,Neutral,Disagree,,,Yes I would like to obtain a summary of the results
Yes,Less than 2 years,18-25,Female,Spain,High school degree or equivalent,Part-time (less than 38 hours a week),Data analyst + developer,10 - 100,1 - 5,Rarely,Never,Never,Never,Never,Untrue,Strongly agree,Strongly agree,no. never,no. never,no. never. I have found it to be very welcoming.,My father didn't think I would like it or be able to excel in this field.,I haven't experienced or witnessed this behaviour,I haven't experienced or witnessed this behaviour,Strongly agree,Neutral,Strongly agree,Neutral,,,Yes I would like to obtain a summary of the results
Yes,6-10 years,36-45,Male,United States,Doctorate,Full-time (38+ hours a week),Data scientist,101 - 500,6 - 10,Sometimes,Rarely,Sometimes,Rarely,Sometimes,True,Agree,Agree,no. never,one or two times,"Many company policies are designed for older employees with families; the policies don't support single life nearly as much.
Several times I've felt compensation was unfair at a company.
At my current employer. I need to do a lot of PM work in addition to managing the team but my peers don't need to do that.",My team depends on several other engineering teams to deliver machine learning features but those other teams are slow and often deprioritize our work.,I have witnessed this behaviour,I have witnessed this behaviour,Neutral,Neutral,Agree,Strongly agree,Female. Non-binary,,no thank you
Yes,2-5 years,26-35,Male,Spain,Doctorate,Full-time (38+ hours a week),R&D,501 - 1000,1 - 5,Rarely,Rarely,Sometimes,Rarely,Never,Untrue,Neutral,Strongly agree,no. never,no. never,,,I haven't experienced or witnessed this behaviour,I haven't experienced or witnessed this behaviour,Agree,Neutral,Agree,Neutral,,,no thank you
Yes,2-5 years,18-25,Male,United States,Bachelors degree,Full-time (38+ hours a week),Developer,10 - 100,6 - 10,Rarely,Rarely,Sometimes,Never,Rarely,Untrue,Agree,Agree,no. never,no. never,,Working for people who have a hard time articulating their own field of expertise for which I'm designing the software.,I have experienced and witnessed this behaviour,I have witnessed this behaviour,Agree,Agree,Agree,Disagree,,,no thank you
Yes,6-10 years,26-35,Male,Iraq,Masters degree,Full-time (38+ hours a week),Developer,101 - 500,6 - 10,Rarely,Never,Sometimes,Never,Rarely,Untrue,Neutral,Strongly agree,no. never,one or two times,,Market changes. low our rates. many new developers developing simple apps for a low cost which affect the professionals if they ask for a high rates,I have experienced this behaviour,I haven't experienced or witnessed this behaviour,Disagree,Neutral,Agree,Disagree,,Many thanks for this survey and I hope you do an amazing research,Yes I would like to obtain a summary of the results and keep in touch in case additional information is needed
Yes,Less than 2 years,18-25,Female,United States,Bachelors degree,Full-time (38+ hours a week),Developer,100.000+,1 - 5,Sometimes,Rarely,Rarely,Sometimes,Never,Untrue,Disagree,Neutral,no. never,one or two times,A lot of the unfair treatment I’ve experienced came not from my fellow engineers but from people from non-technical roles. namely product managers.,Imposter syndrome,I haven't experienced or witnessed this behaviour,I haven't experienced or witnessed this behaviour,Disagree,Disagree,Disagree,Disagree,,,no thank you
Yes,Less than 2 years,26-35,Female,United Kingdom,Bachelors degree,Full-time (38+ hours a week),Developer,101 - 500,6 - 10,Very often,Rarely,Sometimes,Rarely,Rarely,Untrue,Neutral,Agree,no. never,one or two times,Extra scrutiny is placed on my work compared to other men of the same experience level. even if it is work we have done together (paired) but my name is the one on a pull request,Confidence,I have experienced this behaviour,I have experienced this behaviour,Agree,Agree,Agree,Strongly agree,Female. Non-binary,,Yes I would like to obtain a summary of the results and keep in touch in case additional information is needed
Yes,Less than 2 years,18-25,Female,United States,Bachelors degree,Full-time (38+ hours a week),Developer,100.000+,11 - 15,Rarely,Sometimes,Always,Rarely,Always,Untrue,Disagree,Neutral,no. never,no. never,yes. I have a very stupid co worker who can not do his job without constant help from me. who asks me to give him direction on what to do frequently. He is paid more than me and treated as my equal.,When I do something the men in charge nitpick in a way that they don't do for other people. leading to me having to edit documents many many times and it takes me longer to complete things. ,I have experienced and witnessed this behaviour,I have experienced this behaviour,Neutral,Strongly disagree,Agree,Strongly agree,Non-binary,,Yes I would like to obtain a summary of the results and keep in touch in case additional information is needed
Yes,2-5 years,36-45,Female,United States,Bachelors degree,Full-time (38+ hours a week),Architect,10.000 - 100.000,1 - 5,Very often,Sometimes,Sometimes,Very often,Sometimes,True,Agree,Neutral,More than four times,More than four times,yes. women are penalized when they are ambitious. when they challenge or contradict a man. when they speak up.  Traits that get men promotions make women 'difficult.' 'not a team player.' 'aggressive.' or various sexist slurs.,Sexism - men's egos and patronizing/sexist behavior are the largest barriers to success.,I have witnessed this behaviour,I have experienced and witnessed this behaviour,Disagree,Disagree,Neutral,Strongly agree,Female,,no thank you
Yes,6-10 years,26-35,Female,Netherlands,Masters degree,Full-time (38+ hours a week),Developer,10 - 100,11 - 15,Sometimes,Never,Rarely,Never,Never,Untrue,Agree,Strongly agree,one or two times,no. never,,,I have experienced this behaviour,I have experienced this behaviour,Strongly agree,Agree,Strongly agree,Agree,Female. Non-binary,,no thank you
Yes,2-5 years,18-25,Female,Canada,Bachelors degree,Full-time (38+ hours a week),Architect,100.000+,6 - 10,Sometimes,Never,Rarely,Never,Very often,True,Strongly agree,Agree,no. never,no. never,Some of my offshore developers refuse to treat me like a female. My name is clearly in my email signature but they call me everything but that and make names. In third person I'm he.,,I have experienced this behaviour,I have witnessed this behaviour,Strongly agree,Strongly agree,Strongly agree,Disagree,,,no thank you
Yes,Less than 2 years,18-25,Female,United States,Bachelors degree,Full-time (38+ hours a week),Developer,100.000+,6 - 10,Never,Never,Very often,Never,Never,Untrue,Agree,Agree,no. never,no. never,Yes; I had a past experience where we worked in 2-person office spaces. and I was an intern. The other developer (a full time employee) who I shared my office with groped me and sent me texts outside of work asking about my relationship status. This made me uncomfortable. but because I was an intern I didn’t feel like I could report it.,I was randomly assigned a team. and the work we do doesn’t align with my interests.,I have experienced this behaviour,I have witnessed this behaviour,Strongly agree,Strongly agree,Agree,Strongly agree,Female. Non-binary,Many male developers believe that women in the field are there because of something like affirmative action or “diversity hires”. This is a very frustrating attitude to deal with.,no thank you
Yes,2-5 years,18-25,Female,United States,Bachelors degree,Full-time (38+ hours a week),Developer,10 - 100,1 - 5,Rarely,Rarely,Sometimes,Sometimes,Never,Untrue,Agree,Agree,one or two times,no. never,,,I have witnessed this behaviour,I have witnessed this behaviour,Agree,Agree,Agree,Agree,Female. Non-binary,,no thank you
Yes,21+ years,56-65,Female,Canada,Bachelors degree,Full-time (38+ hours a week),Developer,10 - 100,1 - 5,Sometimes,Always,Always,Always,Sometimes,True,Agree,Agree,three or four times,More than four times,"I have to prove myself over and over and over and over again. Past accomplishments mean nothing.  Male colleagues see me as someone that they can teach. even if I know and am better at the processes that they feel the need to teach me.  Non-technical people always assume a male developer is better than I am.   No matter how good I am. or how much better I am than the other developers. I am always treated as though I am less technical.  It never gets better.  The ""boys club"" is very real.   But honestly male developers tend to have terrible social skills. are very insecure and band together for comfort I think.  I am always going to disrupt that world simple because I am female.",Quite honestly. I struggle with spending the majority of my day with men that belittle me. are unpleasant to be around (even to the extent that they don't bathe) and that I have nothing in common with.  I enjoy doing the work and I am very good at it. but it's difficult be in an all male environment all of the time.,I have experienced this behaviour,I have experienced this behaviour,Agree,Agree,Agree,Strongly agree,Female,,no thank you
Yes,2-5 years,36-45,Female,United States,Bachelors degree,Full-time (38+ hours a week),Developer,10.000 - 100.000,1 - 5,Sometimes,Rarely,Very often,Sometimes,Very often,Untrue,Strongly disagree,Neutral,no. never,no. never,I just left my most recent position after making my third harassment complaint against my male boss. Less than two weeks after the third complaint. I was put on a performance plan (the company's way of legally firing me) because 12 days was too long to learn C# well enough to debug the back end. including two APIs and an off-site DB. My male colleagues. who were in similar positions and experience levels. and took approximately the same amount of time to complete complex tasks. were told it wasn't a waste of time if they were learning something...,Making people managers just because they've been with the company for X amount of years. No offense to developers. but we're not all super socially adept. A lot of really good devs just want to be really good devs. Forcing them into management when they don't want to be there can cause a ton of blow back. ,I have experienced this behaviour,I have experienced this behaviour,Agree,Agree,Neutral,Neutral,,,Yes I would like to obtain a summary of the results and keep in touch in case additional information is needed
Yes,2-5 years,18-25,Female,United States,Bachelors degree,Full-time (38+ hours a week),Developer,101 - 500,6 - 10,Sometimes,Rarely,Sometimes,Rarely,Very often,Untrue,Strongly agree,Agree,no. never,three or four times,,,I have witnessed this behaviour,I have witnessed this behaviour,Agree,Neutral,Neutral,Agree,Female. Non-binary,,Yes I am willing to keep in touch in case additional information is needed.
